frequency_thz,n,k,eps1,eps2,sigma_re,sigma_im
,3.18651,0.04452,10.15184,0.28375,,
,3.17871,0.04525,10.10213,0.28768,,
,3.17059,0.04591,10.05053,0.29113,,
,3.16249,0.04638,9.99922,0.29334,,
,3.15478,0.04658,9.95044,0.29388,,
,3.14773,0.04649,9.90605,0.2927,,
,3.14157,0.04617,9.86732,0.29012,,
,3.13638,0.0457,9.8348,0.28669,,
,3.13217,0.04517,9.80847,0.28299,,
,3.12889,0.04467,9.78794,0.27952,,
,3.12643,0.04425,9.7726,0.27667,,
,3.1247,0.04396,9.76181,0.2747,,
,3.12359,0.04382,9.75492,0.27378,,
,3.12303,0.04387,9.75138,0.274,,
,3.12293,0.04409,9.75074,0.27541,,
,3.12323,0.0445,9.75261,0.278,,
,3.1239,0.0451,9.75671,0.28176,,
,3.1249,0.04587,9.76288,0.28665,,
,3.12621,0.0468,9.77098,0.2926,,
,3.12782,0.04788,9.78099,0.29955,,
,3.12975,0.0491,9.79293,0.30737,,
,3.132,0.05044,9.80688,0.31592,,
,3.13458,0.05184,9.82292,0.32502,,
,3.13752,0.05329,9.84118,0.33439,,
,3.14082,0.05471,9.86173,0.34368,,
,3.14447,0.05605,9.88457,0.35249,,
,3.14847,0.05722,9.9096,0.36033,,
,3.15276,0.05816,9.93654,0.3667,,
,3.15728,0.05878,9.96494,0.37117,,
,3.16191,0.05905,9.99418,0.37343,,
,3.16655,0.05896,10.02355,0.37339,,
,3.17108,0.05853,10.05235,0.37121,,
,3.17543,0.05782,10.07999,0.3672,,
,3.17951,0.0569,10.10605,0.36185,,
,3.1833,0.05586,10.1303,0.35566,,
,3.1868,0.05477,10.15267,0.34909,,
,3.19,0.05369,10.17322,0.34255,,
,3.19293,0.05267,10.19204,0.33633,,
,3.19562,0.05174,10.20929,0.33066,,
,3.19807,0.05092,10.22509,0.32568,,
,3.20032,0.05022,10.23954,0.32147,,
,3.20237,0.04966,10.25272,0.31808,,
,3.20422,0.04923,10.26462,0.31551,,
,3.20587,0.04894,10.27521,0.31377,,
,3.2073,0.04877,10.28438,0.31283,,
,3.20848,0.04872,10.29195,0.31265,,
,3.20937,0.04879,10.29766,0.31315,,
,3.20992,0.04894,10.30118,0.3142,,
,3.21006,0.04916,10.30207,0.31561,,
,3.20972,0.04938,10.29986,0.31701,,
,3.20881,0.04953,10.29401,0.31784,,
,3.20726,0.04946,10.28406,0.31727,,
,3.20502,0.049,10.26978,0.3141,,
,3.20214,0.04792,10.25143,0.3069,,
,3.19876,0.04599,10.22996,0.29423,,
,3.19514,0.04305,10.20704,0.27513,,
,3.19159,0.03909,10.18471,0.2495,,
,3.18841,0.03421,10.16479,0.21817,,
,3.18579,0.02866,10.14843,0.18261,,
,3.1838,0.02267,10.13606,0.14434,,
,3.18243,0.01645,10.12757,0.10468,,
,3.18162,0.01015,10.1226,0.06458,,
,3.18132,0.00387,10.12077,0.02465,,
,3.18149,-0.00232,10.12184,-0.01475,,
,3.18212,-0.00839,10.1258,-0.05342,,
,3.18326,-0.01433,10.13294,-0.09124,,
,3.18502,-0.0201,10.14394,-0.12805,,
,3.18757,-0.02564,10.15996,-0.16346,,
,3.19117,-0.0308,10.18264,-0.19657,,
,3.19611,-0.03527,10.21389,-0.22546,,
,3.20259,-0.03849,10.2551,-0.24655,,
,3.21044,-0.0397,10.30536,-0.25489,,
,3.21892,-0.03827,10.36001,-0.2464,,
,3.22698,-0.03427,10.41225,-0.22121,,
,3.2339,-0.02841,10.4573,-0.18378,,
,3.23953,-0.02155,10.49411,-0.13963,,
,3.24412,-0.01432,10.52408,-0.09292,,
,3.24797,-0.00711,10.54928,-0.04618,,
,3.2514,-0.000123137,10.5716,-0.000800735,,
,3.25463,0.00651,10.59254,0.04235,,
,3.25782,0.01269,10.6132,0.08266,,
,3.26108,0.01833,10.63432,0.11958,,
,3.26449,0.02337,10.65634,0.15257,,
,3.26805,0.02771,10.67938,0.18113,,
,3.27174,0.0313,10.70329,0.20482,,
,3.27549,0.0341,10.72767,0.22337,,
