Frequency	σRe	σIm
1.88477000E+12	1.07632190E+02	1.81992250E+02
1.88965000E+12	1.07911020E+02	1.82463730E+02
1.89453000E+12	1.01564880E+02	1.79679290E+02
1.89941000E+12	1.01826640E+02	1.80142380E+02
1.90430000E+12	1.02088410E+02	1.80605470E+02
1.90918000E+12	1.02350170E+02	1.81068570E+02
1.91406000E+12	1.06032340E+02	1.81694050E+02
1.91895000E+12	1.09731950E+02	1.82325690E+02
1.92383000E+12	1.10011170E+02	1.82789620E+02
1.92871000E+12	1.10290380E+02	1.83253560E+02
1.93359000E+12	1.07114300E+02	1.83548070E+02
1.93848000E+12	1.07384790E+02	1.84011570E+02
1.94336000E+12	1.04182530E+02	1.84310200E+02
1.94824000E+12	1.01098890E+02	1.81597130E+02
1.95313000E+12	1.01352270E+02	1.82052260E+02
1.95801000E+12	1.01605650E+02	1.82507390E+02
1.96289000E+12	9.83466500E+01	1.82806910E+02
1.96777000E+12	9.85912900E+01	1.83261650E+02
1.97266000E+12	9.88359400E+01	1.83716400E+02
1.97754000E+12	9.90805800E+01	1.84171140E+02
1.98242000E+12	1.02872550E+02	1.84783040E+02
1.98730000E+12	1.03125930E+02	1.85238170E+02
1.99219000E+12	1.03379310E+02	1.85693300E+02
1.99707000E+12	9.66154700E+01	1.82741290E+02
2.00195000E+12	9.68516900E+01	1.83188090E+02
2.00684000E+12	9.70879200E+01	1.83634890E+02
2.01172000E+12	9.73241400E+01	1.84081690E+02
2.01660000E+12	1.01173710E+02	1.84682750E+02
2.02148000E+12	1.01418680E+02	1.85129930E+02
2.02637000E+12	1.01663660E+02	1.85577100E+02
2.03125000E+12	9.47566300E+01	1.82565880E+02
2.03613000E+12	9.49844100E+01	1.83004740E+02
2.04102000E+12	9.52121900E+01	1.83443600E+02
2.04590000E+12	9.54399700E+01	1.83882460E+02
2.05078000E+12	1.03026810E+02	1.84629370E+02
2.05566000E+12	9.95838200E+01	1.84911710E+02
2.06055000E+12	9.98203700E+01	1.85350930E+02
2.06543000E+12	1.00056910E+02	1.85790150E+02
2.07031000E+12	1.00293450E+02	1.86229370E+02
2.07520000E+12	1.00529990E+02	1.86668590E+02
2.08008000E+12	9.34275800E+01	1.83573520E+02
2.08496000E+12	9.36468900E+01	1.84004450E+02
2.08984000E+12	9.01115600E+01	1.84292950E+02
2.09473000E+12	9.03221000E+01	1.84723540E+02
2.09961000E+12	9.05326400E+01	1.85154130E+02
2.10449000E+12	9.07431800E+01	1.85584720E+02
2.10938000E+12	9.09537200E+01	1.86015310E+02
2.11426000E+12	9.87612900E+01	1.86739960E+02
2.11914000E+12	9.89893700E+01	1.87171230E+02
2.12402000E+12	9.92174600E+01	1.87602500E+02
2.12891000E+12	9.56207200E+01	1.87882760E+02
2.13379000E+12	8.82910200E+01	1.84707430E+02
2.13867000E+12	8.84930600E+01	1.85130100E+02
2.14355000E+12	8.86951000E+01	1.85552770E+02
2.14844000E+12	9.66273200E+01	1.86262300E+02
2.15332000E+12	9.29730500E+01	1.86538870E+02
2.15820000E+12	9.31838800E+01	1.86961860E+02
2.16309000E+12	8.57264200E+01	1.83736600E+02
2.16797000E+12	8.59199300E+01	1.84151360E+02
2.17285000E+12	8.61134400E+01	1.84566110E+02
2.17773000E+12	9.02300000E+01	1.85117170E+02
2.18262000E+12	9.43641500E+01	1.85674900E+02
2.18750000E+12	9.45752500E+01	1.86090280E+02
2.19238000E+12	9.08369300E+01	1.86362350E+02
2.19727000E+12	9.10392400E+01	1.86777410E+02
2.20215000E+12	8.73912000E+01	1.83617700E+02
2.20703000E+12	8.75849700E+01	1.84024830E+02
2.21191000E+12	8.77787400E+01	1.84431970E+02
2.21680000E+12	8.79725200E+01	1.84839100E+02
2.22168000E+12	8.41587300E+01	1.85113370E+02
2.22656000E+12	8.83600600E+01	1.85653370E+02
2.23145000E+12	9.25790100E+01	1.86200160E+02
2.23633000E+12	9.27815900E+01	1.86607600E+02
2.24121000E+12	9.29841700E+01	1.87015040E+02
2.24609000E+12	9.31867500E+01	1.87422480E+02
2.25098000E+12	8.93289200E+01	1.87689040E+02
2.25586000E+12	8.95226900E+01	1.88096180E+02
2.26074000E+12	8.16693200E+01	1.84706080E+02
2.26563000E+12	8.18457100E+01	1.85105020E+02
2.27051000E+12	8.20221000E+01	1.85503950E+02
2.27539000E+12	8.21984900E+01	1.85902880E+02
2.28027000E+12	8.23748800E+01	1.86301810E+02
2.28516000E+12	8.25512700E+01	1.86700750E+02
2.29004000E+12	8.27276700E+01	1.87099680E+02
2.29492000E+12	8.70492600E+01	1.87629480E+02
2.29980000E+12	8.72344700E+01	1.88028690E+02
2.30469000E+12	8.74196800E+01	1.88427900E+02
2.30957000E+12	8.76048900E+01	1.88827110E+02
2.31445000E+12	8.77901000E+01	1.89226330E+02
2.31934000E+12	8.79753200E+01	1.89625540E+02
2.32422000E+12	8.81605300E+01	1.90024750E+02
2.32910000E+12	8.83457400E+01	1.90423960E+02
2.33398000E+12	8.85309500E+01	1.90823170E+02
2.33887000E+12	8.03740200E+01	1.87302070E+02
2.34375000E+12	7.63027800E+01	1.87572480E+02
2.34863000E+12	7.64617400E+01	1.87963260E+02
2.35352000E+12	7.66207100E+01	1.88354040E+02
2.35840000E+12	7.67796700E+01	1.88744810E+02
2.36328000E+12	7.69386300E+01	1.89135590E+02
2.36816000E+12	8.13808000E+01	1.89648230E+02
2.37305000E+12	8.58406200E+01	1.90167980E+02
2.37793000E+12	8.17163900E+01	1.90430280E+02
2.38281000E+12	8.18841800E+01	1.90821310E+02
2.38770000E+12	8.20519800E+01	1.91212340E+02
2.39258000E+12	7.79961400E+01	1.87731120E+02
2.39746000E+12	7.81553100E+01	1.88114250E+02
2.40234000E+12	7.83144900E+01	1.88497370E+02
2.40723000E+12	7.84736600E+01	1.88880500E+02
2.41211000E+12	8.30013300E+01	1.89387750E+02
2.41699000E+12	8.31693500E+01	1.89771120E+02
2.42188000E+12	8.33373700E+01	1.90154500E+02
2.42676000E+12	8.35053900E+01	1.90537880E+02
2.43164000E+12	8.36734100E+01	1.90921250E+02
2.43652000E+12	7.51157700E+01	1.87237570E+02
2.44141000E+12	7.52663000E+01	1.87612800E+02
2.44629000E+12	7.54168300E+01	1.87988020E+02
2.45117000E+12	7.55673700E+01	1.88363250E+02
2.45605000E+12	7.57179000E+01	1.88738470E+02
2.46094000E+12	7.58684300E+01	1.89113700E+02
2.46582000E+12	7.60189600E+01	1.89488930E+02
2.47070000E+12	8.06500500E+01	1.89984420E+02
2.47559000E+12	8.08094400E+01	1.90359880E+02
2.48047000E+12	8.09688300E+01	1.90735350E+02
2.48535000E+12	8.11282200E+01	1.91110810E+02
2.49023000E+12	8.12876000E+01	1.91486270E+02
2.49512000E+12	8.14469900E+01	1.91861740E+02
2.50000000E+12	8.16063800E+01	1.92237200E+02
2.50488000E+12	7.72232200E+01	1.92490730E+02
2.50977000E+12	7.73737600E+01	1.92865960E+02
2.51465000E+12	NaN	1.93241180E+02
2.51953000E+12	NaN	1.93616410E+02
2.52441000E+12	NaN	1.89909530E+02
2.52930000E+12	NaN	1.90167810E+02
2.53418000E+12	NaN	1.90534930E+02
2.53906000E+12	NaN	1.90902050E+02
2.54395000E+12	NaN	1.91269170E+02
2.54883000E+12	NaN	1.91746180E+02
2.55371000E+12	NaN	1.92230720E+02
2.55859000E+12	NaN	1.92598280E+02
2.56348000E+12	NaN	1.92848170E+02
2.56836000E+12	NaN	1.93215500E+02
2.57324000E+12	NaN	1.89423570E+02
2.57813000E+12	NaN	1.89783010E+02
2.58301000E+12	NaN	1.90142450E+02
2.58789000E+12	NaN	1.90501880E+02
2.59277000E+12	NaN	1.90973110E+02
2.59766000E+12	NaN	1.91332760E+02
2.60254000E+12	NaN	1.91692400E+02
2.60742000E+12	NaN	1.92052050E+02
2.61230000E+12	NaN	1.92411700E+02
2.61719000E+12	NaN	1.88430040E+02
2.62207000E+12	NaN	1.88781590E+02
2.62695000E+12	NaN	1.89133130E+02
2.63184000E+12	NaN	1.89484680E+02
2.63672000E+12	NaN	1.89942580E+02
2.64160000E+12	NaN	1.90294320E+02
2.64648000E+12	NaN	1.90646070E+02
2.65137000E+12	NaN	1.86609030E+02
2.65625000E+12	NaN	1.86952690E+02
2.66113000E+12	NaN	1.87203830E+02
