Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
128.05	4.33333e-05		128.05	2.9652486959474954e-05		130.3	-3e-05		130.65	-1.6879143755109368e-05	
128.1	1.7e-05		128.1	1.0649933750329291e-05		130.35	-8.66667e-06		130.7	-2.9235133138028936e-06	
128.15	6.6e-05		128.15	3.7406942704540055e-05		130.4	-2.93333e-05		130.75	-1.0579760263376329e-05	
128.2	0.000101		128.2	5.111490894750088e-05		130.44999999999996	2.4e-05		130.8	-1.552005522990421e-05	
128.25	8.63333e-05		128.25	3.8445461327875215e-05		130.5	-3.53333e-05		130.85	8.906287916221254e-06	
128.3	0.000115333		128.3	4.444361992662909e-05		130.55	1.33333e-06		130.9	6.165606711228056e-06	
128.35	3.3e-05		128.35	1.0793781259552345e-05		130.6	3.53333e-05		130.95	1.52639439971258e-05	
128.39999999999998	-4.2e-05		128.39999999999998	-1.1397911210602574e-05		130.65	-2.46667e-05		131.0	-7.236778068566087e-07	
128.45	-7.43333e-05		128.45	-1.628338064355972e-05		130.7	-4.66667e-06		131.05	1.051483347155133e-05	
128.5	-7.46667e-05		128.5	-1.2760513482014046e-05		130.75	-1.86667e-05		131.1	1.0253979470377595e-06	
