ref_time_ps,ref_amplitude,sample_time_ps,sample_amplitude,raw_ref_time_ps,raw_ref_amplitude,raw_sample_time_ps,raw_sample_amplitude
128.35,2.1561838060555085e-05,130.65,-1.6116951239039214e-05,128.35,3.3e-05,130.6,3.53333e-05
128.39999999999998,-2.5051447373599434e-05,130.7,-2.7834961408322684e-06,128.39999999999998,-4.2e-05,130.65,-2.46667e-05
128.45,-4.000641182602119e-05,130.75,-1.004647563921943e-05,128.45,-7.43333e-05,130.7,-4.66667e-06
128.5,-3.579632527568761e-05,130.8,-1.4702071583877812e-05,128.5,-7.46667e-05,130.75,-1.86667e-05
128.55,-1.4030362122218794e-05,130.85,8.418225691556968e-06,128.55,-3.33333e-05,130.8,-3.06667e-05
128.6,1.4782402116939468e-05,130.9,5.8160222951710235e-06,128.6,4.06667e-05,130.85,2e-05
128.65,2.2482472681356356e-05,130.95,1.4372367231219899e-05,128.65,7.3e-05,130.9,1.6e-05
128.7,1.9218438615161015e-05,131.0,-6.802998634321265e-07,128.7,7.53333e-05,130.95,4.66667e-05
128.75,1.699888760650798e-05,131.05,9.870317856070014e-06,128.75,8.26667e-05,131.0,-2.66667e-06
128.8,-2.4033269547777834e-06,131.1,9.613307819111135e-07,128.8,-1.5e-05,131.05,4.8e-05
128.85,-1.1233996975234491e-05,131.15,3.0275980380075313e-06,128.85,-9.4e-05,131.1,6e-06
128.9,-1.0984002013481177e-05,131.2,-3.92285065672681e-07,128.9,-0.000130667,131.15,2.53333e-05
128.95,-7.502131356842536e-06,131.25,-1.1235094066120117e-06,128.95,-0.000138,131.2,-4.66667e-06
129.0,-2.4970694773092025e-06,131.3,2.0552022434929556e-08,129.0,-8.1e-05,131.25,-2.06667e-05
129.05,5.190744752982583e-07,131.35,1.0105861203500642e-07,129.05,3.76667e-05,131.3,6.66667e-07
129.1,2.3623732640487946e-07,131.4,8.988546560062027e-08,129.1,6.83333e-05,131.35,7.33333e-06
129.15,0.0,131.45,0.0,129.15,0.000100333,131.4,2.6e-05
,,,,129.2,6.06667e-05,131.45,1.33333e-06
