	Reference	Reference		Sample	Sample		Phase offset	Phase Diff
Frequency (THz)	Amplitude	Phase	Frequency (THz)	Amplitude	Phase
1.8E12	0.00414	1247.41304	1.8E12	3.92007E-4	1305.39698	57.98395	32.2327	25.75125
1.81111E12	0.00412	1255.15271	1.81111E12	3.95531E-4	1313.50911	58.3564	32.4317	25.9247
1.82222E12	0.0041	1262.89326	1.82222E12	3.98964E-4	1321.62221	58.72895	32.6307	26.09825
1.83333E12	0.00408	1270.63466	1.83333E12	4.02294E-4	1329.73624	59.10158	32.8296	26.27198
1.84444E12	0.00406	1278.3769	1.84444E12	4.05512E-4	1337.85119	59.47429	33.0286	26.44569
1.85556E12	0.00404	1286.11998	1.85556E12	4.08614E-4	1345.96703	59.84705	33.2276	26.61945
1.86667E12	0.00402	1293.86386	1.86667E12	4.11595E-4	1354.08372	60.21986	33.4265	26.79336
1.87778E12	0.004	1301.60854	1.87778E12	4.14453E-4	1362.20125	60.59271	33.6255	26.96721
1.88889E12	0.00397	1309.35399	1.88889E12	4.17187E-4	1370.31959	60.9656	33.8245	27.1411
1.9E12	0.00394	1317.10021	1.9E12	4.19798E-4	1378.43875	61.33854	34.0234	27.31514
1.91111E12	0.00392	1324.84717	1.91111E12	4.22286E-4	1386.55869	61.71152	34.2224	27.48912
1.92222E12	0.00389	1332.59486	1.92222E12	4.24653E-4	1394.67943	62.08457	34.4214	27.66317
1.93333E12	0.00386	1340.34327	1.93333E12	4.269E-4	1402.80095	62.45768	34.6204	27.83728
1.94444E12	0.00383	1348.0924	1.94444E12	4.29026E-4	1410.92327	62.83087	34.8193	28.01157
1.95556E12	0.0038	1355.84222	1.95556E12	4.31031E-4	1419.04638	63.20416	35.0183	28.18586
1.96667E12	0.00376	1363.59274	1.96667E12	4.32913E-4	1427.17029	63.57755	35.2173	28.36025
1.97778E12	0.00373	1371.34394	1.97778E12	4.34669E-4	1435.29501	63.95106	35.4162	28.53486
1.98889E12	0.0037	1379.09584	1.98889E12	4.36296E-4	1443.42054	64.3247	35.6152	28.7095
2E12	0.00366	1386.84843	2E12	4.3779E-4	1451.54691	64.69848	35.8142	28.88428
2.01111E12	0.00362	1394.6017	2.01111E12	4.39145E-4	1459.6741	65.0724	36.0131	29.0593
2.02222E12	0.00359	1402.35567	2.02222E12	4.40357E-4	1467.80213	65.44646	36.2121	29.23436
2.03333E12	0.00355	1410.11032	2.03333E12	4.41419E-4	1475.931	65.82068	36.4111	29.40958
2.04444E12	0.00351	1417.86568	2.04444E12	4.42327E-4	1484.06071	66.19504	36.61	29.58504
2.05556E12	0.00347	1425.62173	2.05556E12	4.43075E-4	1492.19127	66.56954	36.809	29.76054
2.06667E12	0.00344	1433.37848	2.06667E12	4.43659E-4	1500.32267	66.94418	37.008	29.93618
2.07778E12	0.0034	1441.13595	2.07778E12	4.44076E-4	1508.4549	67.31895	37.2069	30.11205
2.08889E12	0.00336	1448.89412	2.08889E12	4.44324E-4	1516.58796	67.69383	37.4059	30.28793
2.1E12	0.00332	1456.65302	2.1E12	4.44401E-4	1524.72184	68.06882	37.6049	30.46392
2.11111E12	0.00327	1464.41264	2.11111E12	4.44307E-4	1532.85653	68.44389	37.8038	30.64009
2.12222E12	0.00323	1472.17299	2.12222E12	4.44042E-4	1540.99202	68.81903	38.0028	30.81623
2.13333E12	0.00319	1479.93409	2.13333E12	4.43608E-4	1549.1283	69.19422	38.2018	30.99242
2.14444E12	0.00315	1487.69592	2.14444E12	4.43005E-4	1557.26537	69.56945	38.4007	31.16875
2.15556E12	0.00311	1495.45852	2.15556E12	4.42236E-4	1565.40321	69.94469	38.5997	31.34499
2.16667E12	0.00306	1503.22188	2.16667E12	4.41302E-4	1573.54181	70.31993	38.7987	31.52123
2.17778E12	0.00302	1510.98602	2.17778E12	4.40205E-4	1581.68117	70.69515	38.9976	31.69755
2.18889E12	0.00298	1518.75094	2.18889E12	4.38945E-4	1589.82128	71.07034	39.1966	31.87374
2.2E12	0.00293	1526.51667	2.2E12	4.3752E-4	1597.96214	71.44546	39.3956	32.04986
2.21111E12	0.00289	1534.28322	2.21111E12	4.35929E-4	1606.10374	71.82052	39.5945	32.22602
2.22222E12	0.00284	1542.0506	2.22222E12	4.34168E-4	1614.2461	72.1955	39.7935	32.402
2.23333E12	0.0028	1549.81883	2.23333E12	4.3223E-4	1622.38922	72.57038	39.9925	32.57788
2.24444E12	0.00275	1557.58793	2.24444E12	4.3011E-4	1630.5331	72.94517	40.1914	32.75377
2.25556E12	0.00271	1565.35791	2.25556E12	4.27798E-4	1638.67776	73.31985	40.3904	32.92945
2.26667E12	0.00266	1573.12879	2.26667E12	4.25282E-4	1646.82321	73.69442	40.5894	33.10502
2.27778E12	0.00261	1580.90058	2.27778E12	4.22551E-4	1654.96947	74.06889	40.7883	33.28059
