freq_THz,fft_mag,n,k,eps_real,eps_imag,sigma_real,sigma_imag
1.943573667711505193e+00,4.594974685098467820e-02,1.151086979841825952e+00,9.445245928231147878e-03,1.324912022490731367e+00,2.174459921878179117e-02,2.351153654157629891e+00,-3.513139429578442474e+01
1.964472309299800656e+00,4.554009149149564756e-02,1.149242613479737107e+00,9.332751645183205713e-03,1.320671484384465799e+00,2.145119178333532856e-02,2.344368814437114867e+00,-3.504570912718355657e+01
1.985370950888096564e+00,4.509987243718222016e-02,1.147362886118628023e+00,9.164507580899932879e-03,1.316357604243267421e+00,2.103003173575478460e-02,2.322791294520217598e+00,-3.494206277597707810e+01
2.006269592476392472e+00,4.464087648880130793e-02,1.145528659089194434e+00,8.913366727838550538e-03,1.312156460688262971e+00,2.042103407142227198e-02,2.279269186472497655e+00,-3.484096837195659191e+01
2.027168234064688157e+00,4.415857092263696798e-02,1.143808356938059934e+00,8.630585920778179043e-03,1.308223070388008447e+00,1.974347260291608314e-02,2.226598601868732263e+00,-3.476030136098061263e+01
2.048066875652983843e+00,4.363820305030695346e-02,1.142201291306530031e+00,8.402892314026300102e-03,1.304553181263063522e+00,1.919558890358111225e-02,2.187127858588624019e+00,-3.470051116993710849e+01
2.068965517241279528e+00,4.306603526317300673e-02,1.140638739951421510e+00,8.280384214270717497e-03,1.300988170315230619e+00,1.888985403295878607e-02,2.174254877290612509e+00,-3.464425909130028458e+01
2.089864158829575214e+00,4.243479941518929488e-02,1.139043586187621138e+00,8.235760546385459402e-03,1.297352463483379292e+00,1.876178045547483020e-02,2.181326653499066737e+00,-3.457149792468817395e+01
2.110762800417870899e+00,4.174196789766806276e-02,1.137395179126338807e+00,8.190261432160155647e-03,1.293600713117509127e+00,1.863112773744668785e-02,2.187797761040572553e+00,-3.447665604843475506e+01
2.131661442006166585e+00,4.098807794577702390e-02,1.135743278297755676e+00,8.078215377603510661e-03,1.289847536634846303e+00,1.834955763150950686e-02,2.176067821561459059e+00,-3.437292115134543025e+01
