time_ps,amplitude,stderr
1.055499999999996277e+02,-6.771428571428570874e-05,5.961543967696789997e-06
1.055999999999996248e+02,-2.180952380952380900e-05,6.300059217160242341e-06
1.056499999999996220e+02,2.504761904761904626e-05,5.984953959831818371e-06
1.056999999999996191e+02,3.385714285714285437e-05,5.730687910942338991e-06
1.057499999999996021e+02,4.852380952380953421e-05,6.121616849472356815e-06
1.057999999999996135e+02,5.247619047619048134e-05,5.132621880113079277e-06
1.058499999999996106e+02,2.519047619047618824e-05,4.909641365647007378e-06
1.058999999999996078e+02,-4.666666666666667161e-06,5.702235972574588035e-06
1.059499999999996049e+02,-3.342857142857142506e-05,6.077088198456337708e-06
1.059999999999996021e+02,-9.190476190476190316e-05,5.258381660871909762e-06
1.060499999999995993e+02,-1.530000000000000056e-04,5.598934948930757937e-06
1.060999999999995964e+02,-2.229047619047619703e-04,7.349765874979800283e-06
1.061499999999995936e+02,-2.568095238095237376e-04,6.453060770305717791e-06
1.061999999999995907e+02,-2.545238095238095744e-04,7.049246763064391980e-06
1.062499999999995879e+02,-2.292857142857142869e-04,5.871573948137061553e-06
1.062999999999995850e+02,-1.623809523809524493e-04,5.767701961738933415e-06
1.063499999999995822e+02,-9.461904761904761760e-05,6.022816818348675163e-06
1.063999999999995794e+02,-6.519047619047620167e-05,5.670890592136273158e-06
1.064499999999995765e+02,-2.328571428571428735e-05,5.949455063203416342e-06
1.064999999999995737e+02,-1.223809523809523410e-05,6.321400280073856517e-06
1.065499999999995708e+02,2.476190476190473860e-06,7.319656238848819609e-06
1.065999999999995538e+02,1.933333333333333683e-05,5.671533191097211058e-06
1.066499999999995651e+02,4.676190476190476174e-05,5.704337523348606169e-06
1.066999999999995623e+02,4.433333333333334481e-05,5.424775893953781796e-06
1.067499999999995595e+02,2.785714285714285761e-05,6.391389068692755279e-06
1.067999999999995566e+02,-6.809523809523809468e-06,6.390561181682188438e-06
1.068499999999995396e+02,-5.466666666666667633e-05,6.415919354544690850e-06
1.068999999999995509e+02,-9.885714285714284190e-05,6.835661742725815722e-06
1.069499999999995481e+02,-1.200952380952380864e-04,6.326330672480045103e-06
1.069999999999995453e+02,-1.208571428571428752e-04,5.846154174027419332e-06
1.070499999999995424e+02,-1.330000000000000344e-04,6.578757128172003520e-06
1.070999999999995254e+02,-1.240476190476190606e-04,4.650354432759524555e-06
1.071499999999995367e+02,-1.421428571428571207e-04,6.718976023763152455e-06
1.071999999999995339e+02,-1.343809523809523922e-04,6.466111938910582989e-06
1.072499999999995310e+02,-1.337142857142857545e-04,5.431315692560263751e-06
1.072999999999995282e+02,-1.137142857142857156e-04,5.631371243284269302e-06
1.073499999999995111e+02,-9.119047619047618313e-05,6.792372514152788228e-06
1.073999999999995225e+02,-8.442857142857142466e-05,6.124755801244530228e-06
1.074499999999995197e+02,-8.009523809523811700e-05,5.913186149205703677e-06
1.074999999999995168e+02,-8.366666666666664940e-05,6.083290622035009486e-06
1.075499999999995140e+02,-1.079047619047618991e-04,4.704873905044541379e-06
1.075999999999995111e+02,-1.368571428571428575e-04,7.828415841676850110e-06
1.076499999999995083e+02,-1.630000000000000047e-04,6.221989386638138668e-06
1.076999999999995055e+02,-1.723809523809523671e-04,6.167075954513953776e-06
1.077499999999995026e+02,-1.637142857142856976e-04,6.098426037066910765e-06
1.077999999999994998e+02,-1.622380952380952294e-04,5.964065628845884831e-06
1.078499999999994969e+02,-1.564285714285714671e-04,6.053254110440003867e-06
1.078999999999994941e+02,-1.512380952380952331e-04,6.512834835975120399e-06
1.079499999999994913e+02,-1.615238095238095365e-04,7.294209029685856141e-06
1.079999999999994884e+02,-1.567142857142856901e-04,6.364877202867323546e-06
1.080499999999994856e+02,-1.604761904761905112e-04,6.455783507642496174e-06
1.080999999999994827e+02,-1.431904761904762274e-04,5.708353875054959653e-06
1.081499999999994799e+02,-1.240000000000000054e-04,6.564523632491693058e-06
1.081999999999994628e+02,-1.143333333333333522e-04,6.784307846450099201e-06
1.082499999999994742e+02,-1.238571428571428126e-04,5.702127087357468770e-06
1.082999999999994714e+02,-1.152857142857142806e-04,7.245867202260582678e-06
1.083499999999994685e+02,-1.363809523809523595e-04,6.816758759000061523e-06
1.083999999999994657e+02,-1.655714285714285263e-04,6.296360289822600094e-06
1.084499999999994486e+02,-1.648571428571428334e-04,4.724684470210842218e-06
1.084999999999994600e+02,-1.599047619047619297e-04,6.546173825247151851e-06
1.085499999999994571e+02,-1.587142857142857116e-04,5.985932650701698403e-06
1.085999999999994543e+02,-1.642857142857143333e-04,5.632176521956107820e-06
1.086499999999994515e+02,-1.615238095238095365e-04,6.629765055300116911e-06
1.086999999999994344e+02,-1.611428571428571489e-04,5.441147861900984034e-06
1.087499999999994458e+02,-1.653333333333333586e-04,6.728511328773709166e-06
1.087999999999994429e+02,-1.474761904761904933e-04,6.413230204033674371e-06
1.088499999999994401e+02,-1.313333333333333182e-04,5.376806943721609613e-06
1.088999999999994373e+02,-1.171428571428571636e-04,6.250312593413797987e-06
1.089499999999994344e+02,-1.119523809523809566e-04,5.974051256373534230e-06
1.089999999999994316e+02,-8.461904761904763203e-05,5.935590832188223600e-06
1.090499999999994287e+02,-8.638095238095239094e-05,6.461902338925782160e-06
1.090999999999994259e+02,-9.342857142857144013e-05,6.907646594223210100e-06
1.091499999999994230e+02,-1.043809523809523948e-04,6.507361293090481578e-06
1.091999999999994202e+02,-1.159047619047619173e-04,6.937672759288720975e-06
1.092499999999994174e+02,-1.330000000000000344e-04,6.682379442334733372e-06
1.092999999999994145e+02,-1.405238095238095140e-04,7.286199648884129817e-06
1.093499999999994117e+02,-1.521428571428570927e-04,6.598080136194247025e-06
1.093999999999994088e+02,-1.589047619047618783e-04,5.051302510885027696e-06
1.094499999999994060e+02,-1.618095238095237866e-04,6.607838924744760313e-06
1.094999999999994031e+02,-1.607619047619047612e-04,6.901297121152847449e-06
1.095499999999993861e+02,-1.310476190476190410e-04,6.210311845715515992e-06
1.095999999999993975e+02,-1.373333333333333285e-04,7.768961637708962482e-06
1.096499999999993946e+02,-1.091428571428571317e-04,5.704810738777731873e-06
1.096999999999993918e+02,-9.695238095238093085e-05,6.990190111973587108e-06
1.097499999999993889e+02,-1.029523809523809818e-04,6.265565866277567026e-06
1.097999999999993719e+02,-8.576190476190475426e-05,7.024157337942682609e-06
1.098499999999993832e+02,-1.064285714285714309e-04,5.213594524437179519e-06
1.098999999999993804e+02,-1.089047619047619098e-04,6.302719558771335973e-06
1.099499999999993776e+02,-1.040476190476190353e-04,6.650486520057067487e-06
1.099999999999993747e+02,-1.045714285714285886e-04,5.530900913720614217e-06
1.100499999999993577e+02,-1.143809523809523804e-04,5.531701298224668037e-06
1.100999999999993690e+02,-1.043333333333333260e-04,7.095371256873363592e-06
1.101499999999993662e+02,-1.047142857142857136e-04,6.526353841207308404e-06
1.101999999999993634e+02,-1.133333333333333686e-04,5.733565359435138462e-06
